sid_A,sid_B,species_A,species_B,gap_mean,gap_std,n_runs,npos_bin,nneg_bin,gap_ci_lo,gap_ci_hi,gap_p,gap_snr,concept,j
70,68,Green Violetear,Ruby throated Hummingbird,0.18425549562610558,5.4186736471518747e-08,3,13,17,0.18425544220434645,0.1842555448357476,0.0,3400317.2603998855,long wingspan,191
70,71,Green Violetear,Long tailed Jaeger,0.34517204805352003,0.003889973194936304,9,13,10,0.3399908522832443,0.3479682257747031,0.0,88.7337857273945,long wingspan,191
70,92,Green Violetear,Nighthawk,0.19279045392859132,9.757388343737753e-08,3,13,17,0.19279037248213168,0.19279055424003902,0.0,1975820.489217618,long wingspan,191
70,108,Green Violetear,White necked Raven,0.24296861346548915,0.004997629420070406,3,11,17,0.23782863397763657,0.24713534385495986,0.0,48.61677267248227,long wingspan,191
70,110,Green Violetear,Geococcyx,0.010935864085071708,5.190852229465755e-08,3,13,17,0.010935832471235446,0.010935919585716986,0.0,210671.63791251477,long wingspan,191
70,144,Green Violetear,Common Tern,0.26392823377737,0.002170046337928324,3,13,16,0.26170147978148117,0.26574895349630684,0.0,121.6233169968669,long wingspan,191
71,28,Long tailed Jaeger,Brown Creeper,0.4165239687798417,0.00788787631195861,3,11,10,0.40827493410214794,0.42273139910957086,0.0,52.805590789444125,long wingspan,191
71,68,Long tailed Jaeger,Ruby throated Hummingbird,0.16091655242741446,0.004017588178117311,6,13,10,0.15573530511832778,0.1637127866428404,0.0,40.053023170425796,long wingspan,191
71,69,Long tailed Jaeger,Rufous Hummingbird,0.13831580867077287,0.003003993616957443,3,17,10,0.13530519436697092,0.1409712091519397,0.0,46.04397554107332,long wingspan,191
71,141,Long tailed Jaeger,Artic Tern,0.0751209685170748,0.0023909641077181037,6,10,10,0.07242169977674662,0.07776727088873758,0.0,31.41869350659149,long wingspan,191
71,146,Long tailed Jaeger,Forsters Tern,0.01722363094343382,0.007055131052659916,6,11,10,0.008414021415956485,0.02363135300271746,0.0,2.4412914249833673,long wingspan,191
92,1,Nighthawk,Black footed Albatross,0.1684324005914742,0.000719175183840352,3,13,11,0.16786977431448852,0.16918551201076432,0.0,234.2021862571136,long wingspan,191
92,3,Nighthawk,Sooty Albatross,0.1705136860743165,0.004047557887563636,3,13,12,0.16624026193562327,0.1735451510627268,0.0,42.12754721954749,long wingspan,191
92,28,Nighthawk,Brown Creeper,0.2794646233186284,0.010727403204666605,6,11,17,0.26758253715333286,0.2915667130383934,0.0,26.0514700492478,long wingspan,191
92,67,Nighthawk,Anna Hummingbird,0.10532937916363823,0.018380990921658385,3,10,17,0.08590604005173078,0.11901949740586823,0.0,5.730342809418285,long wingspan,191
92,108,Nighthawk,White necked Raven,0.03360105330427354,0.011993625381811132,3,11,17,0.022115052106159338,0.04490006520184064,0.0,2.8015760232456035,long wingspan,191
92,142,Nighthawk,Black Tern,0.11283132861046045,0.004709217655571811,3,13,15,0.11003690913727851,0.11786464764480462,0.0,23.959675861021623,long wingspan,191
92,143,Nighthawk,Caspian Tern,0.08263734154876083,0.008703774539461216,3,13,14,0.07425458072134151,0.09078551605112983,0.0,9.49442579935921,long wingspan,191
92,144,Nighthawk,Common Tern,0.07113777984877871,0.0018793821619530414,9,13,16,0.0687685800737532,0.07302920767415,0.0,37.851684053977145,long wingspan,191
92,146,Nighthawk,Forsters Tern,0.11983571451777945,0.010727403204666598,6,11,17,0.10773362479801452,0.13171780068307504,0.0,11.17099005418925,long wingspan,191
108,3,White necked Raven,Sooty Albatross,0.1350680951041878,0.006097115259980656,3,11,12,0.12861128891365198,0.1395400292906961,0.0,22.152786903763324,long wingspan,191
108,67,White necked Raven,Anna Hummingbird,0.14136132778519414,0.010542004955088481,3,10,18,0.13010143027743912,0.14744781335284562,0.0,13.409339909629963,long wingspan,191
